Vertragsnummer,Vertragsbeginn,Vertragsende,Vertragsstatus
9f0996f3fd10,03.20.2020,2025-03-20,abgelaufen
9f0996f3fd11,2021-07-10,2022-07-10,abgelaufen
5cd395d76c7f,2022-05-13,,aktiv
fc7be3fa866e,2020-06-08,2021-06-08,gekündigt
8f02d94a14fa,2021-02-02,,aktiv
083accc941aa,2021-09-21,2022-09-21,gekündigt
926937ec51b6,2020-05-12,2021-05-12,gekündigt
7586c4841218,2024-01-31,2025-01-30,gekündigt
31530b25085f,2023-08-21,2024-08-20,gekündigt
a77bcdb066fc,2022-05-02,2023-05-02,abgelaufen
3640a2dd89dd,2020-08-20,2021-08-20,abgelaufen
f47daef0647e,2023-02-21,2024-02-21,abgelaufen
c37e15d69435,2021-11-02,2022-11-02,abgelaufen
98d3cd12220b,2021-11-21,,aktiv
7a5db5dc8c4b,2024-04-21,2025-04-21,gekündigt
c031a036aea9,2023-05-06,,aktiv
3102e1a544d6,2022-03-29,,aktiv
27bd83c75493,2020-10-16,2021-10-16,gekündigt
8bb4cb9eea12,2024-01-29,2025-01-28,gekündigt
f9ee47950977,2024-12-11,2025-12-11,abgelaufen
adaa946631a7,2022-02-15,2023-02-15,abgelaufen
5bff6985792d,2023-06-08,,aktiv
99f5ac26a0a2,2020-11-02,2021-11-02,gekündigt
399bc7dcf5dc,2020-03-20,2021-03-20,abgelaufen
3ad94ac99fa6,2023-09-11,,aktiv
3f6ec89ec547,2023-08-04,,aktiv
d16d0dfb99db,2023-07-18,2024-07-17,gekündigt
7ae2bfae6749,2023-12-30,,aktiv
a11be8a25818,2021-09-03,,aktiv
2278cab991ed,2023-12-04,,aktiv
138108ab39c7,2023-03-26,2024-03-25,gekündigt
7a6dcba6dc44,2021-01-10,,aktiv
edfcf0db554a,2023-06-10,2024-06-09,gekündigt
c1e2f7f18371,2022-05-27,2023-05-27,abgelaufen
e268c109a9e3,2020-07-23,2021-07-23,abgelaufen
f4b95f013117,2021-09-12,2022-09-12,gekündigt
51cafe596344,2022-04-03,2023-04-03,abgelaufen
c80099b940b0,2022-01-06,,aktiv
0780e60c97b9,2021-04-02,2022-04-02,abgelaufen
c1921cd35b57,2022-07-17,2023-07-17,abgelaufen
385b14dd0bcc,2020-09-06,2021-09-06,gekündigt
710f96789d29,2022-03-28,2023-03-28,gekündigt
27e0cee96d2c,2024-02-21,2025-02-20,abgelaufen
49db05ad2984,2022-04-04,2023-04-04,gekündigt
40ea24e32cf7,2024-09-06,,aktiv
af445b3d3978,2023-10-10,,aktiv
0132e25efc39,2021-06-26,2022-06-26,gekündigt
3ce30b18bfdb,2024-05-09,2025-05-09,abgelaufen
18e17138d523,2021-11-24,2022-11-24,abgelaufen
03f369ddbf75,2022-02-12,2023-02-12,gekündigt
9dac05de456f,2021-08-29,,aktiv
85a59b775684,2022-03-05,2023-03-05,gekündigt
b366b5a8b865,2021-12-26,,aktiv
b3980ce241aa,2023-12-01,2024-11-30,abgelaufen
0b75f911b076,2022-08-20,,aktiv
84e220805304,2021-12-31,2022-12-31,abgelaufen
38de40775bbf,2023-12-15,2024-12-14,gekündigt
